current_state,previous_state,estimate,margin_of_error,year
AZ,MS,272,238.0,2010
AZ,MT,1343,1038.0,2010
AZ,NC,4463,1627.0,2010
AZ,ND,826,612.0,2010
AZ,NE,1750,1130.0,2010
AZ,NH,64,105.0,2010
AZ,NJ,1782,762.0,2010
AZ,NM,4419,1430.0,2010
AZ,NV,10342,3881.0,2010
AZ,NY,6618,2661.0,2010
AZ,OH,5225,1513.0,2010
AZ,OK,2910,1310.0,2010
AZ,OR,5430,1887.0,2010
AZ,PA,5535,2842.0,2010
AZ,RI,403,336.0,2010
AZ,SC,2310,1189.0,2010
AZ,SD,1351,843.0,2010
AZ,TN,3061,1643.0,2010
AZ,TX,14705,3301.0,2010
AZ,UT,7164,3154.0,2010
AZ,VA,3413,1613.0,2010
AZ,VT,664,498.0,2010
AZ,WA,12645,2459.0,2010
AZ,WI,5556,1827.0,2010
AZ,WV,595,563.0,2010
AZ,WY,593,393.0,2010
CA,AK,9579,2911.0,2010
CA,AL,3364,1977.0,2010
CA,AR,4172,1340.0,2010
CA,AZ,33854,4816.0,2010
CA,CO,15662,3236.0,2010
CA,CT,4631,1802.0,2010
CA,DC,3683,1306.0,2010
CA,DE,643,408.0,2010
CA,FL,20362,4008.0,2010
CA,GA,8820,2545.0,2010
CA,HI,9528,2191.0,2010
CA,IA,3163,1259.0,2010
CA,ID,5719,1572.0,2010
CA,IL,16482,2806.0,2010
CA,IN,6550,1860.0,2010
CA,KS,3857,1813.0,2010
CA,KY,3394,1797.0,2010
CA,LA,2989,1207.0,2010
CA,MA,11969,2774.0,2010
CA,MD,10626,2848.0,2010
CA,ME,1796,1139.0,2010
CA,MI,10435,2487.0,2010
CA,MN,5095,1319.0,2010
CA,MO,6921,2357.0,2010
CA,MS,2757,1338.0,2010
CA,MT,3009,1511.0,2010
CA,NC,9593,2005.0,2010
CA,ND,392,343.0,2010
CA,NE,3062,1860.0,2010
CA,NH,1614,1059.0,2010
CA,NJ,10108,2848.0,2010
CA,NM,4632,1266.0,2010
CA,NV,27724,4878.0,2010
CA,NY,20981,2977.0,2010
CA,OH,8170,2399.0,2010
CA,OK,5708,1591.0,2010
CA,OR,20913,3580.0,2010
CA,PA,9948,1991.0,2010
CA,RI,526,264.0,2010
CA,SC,5016,2183.0,2010
CA,SD,1604,1117.0,2010
CA,TN,4349,1174.0,2010
CA,TX,36582,5299.0,2010
CA,UT,10653,2235.0,2010
CA,VA,14232,2597.0,2010
CA,VT,525,369.0,2010
CA,WA,30544,4481.0,2010
CA,WI,6031,2181.0,2010
CA,WV,1446,919.0,2010
CA,WY,1336,664.0,2010
CO,AK,2225,1220.0,2010
CO,AL,954,803.0,2010
CO,AR,1034,739.0,2010
CO,AZ,12287,2324.0,2010
CO,CA,26089,4183.0,2010
CO,CT,459,360.0,2010
CO,DC,479,381.0,2010
CO,DE,486,486.0,2010
CO,FL,8849,2300.0,2010
CO,GA,6445,2553.0,2010
CO,HI,2355,1220.0,2010
CO,IA,2140,1179.0,2010
CO,ID,839,572.0,2010
CO,IL,6950,1968.0,2010
CO,IN,3296,1584.0,2010
CO,KS,4308,1577.0,2010
CO,KY,1961,1194.0,2010
CO,LA,968,664.0,2010
CO,MA,2242,778.0,2010
CO,MD,1532,978.0,2010
CO,ME,532,385.0,2010
CO,MI,4587,1679.0,2010
CO,MN,2878,1093.0,2010
CO,MO,1978,803.0,2010
CO,MS,1277,883.0,2010
CO,MT,2042,1490.0,2010
CO,NC,2940,1376.0,2010
CO,ND,802,598.0,2010
CO,NE,4065,1455.0,2010
CO,NH,791,521.0,2010
CO,NJ,1259,537.0,2010
CO,NM,3921,1326.0,2010
CO,NV,4131,1784.0,2010
CO,NY,4594,1518.0,2010
CO,OH,2838,1325.0,2010
CO,OK,3464,1440.0,2010
CO,OR,4330,1962.0,2010
CO,PA,3928,1124.0,2010
CO,RI,192,248.0,2010
CO,SC,1231,796.0,2010
CO,SD,1847,826.0,2010
CO,TN,1628,706.0,2010
CO,TX,22253,4494.0,2010
CO,UT,4748,1658.0,2010
CO,VA,2739,1077.0,2010
CO,VT,350,246.0,2010
CO,WA,7583,3004.0,2010
CO,WI,2499,1153.0,2010
CO,WV,623,493.0,2010
CO,WY,4418,1439.0,2010
CT,AK,0,281.0,2010
CT,AL,896,891.0,2010
CT,AR,334,517.0,2010
CT,AZ,664,484.0,2010
