Division to Region per Year,Estimate
D7 to R2 2016,128825
D8 to R2 2016,118528
D1 to R2 2016,34159
D5 to R2 2016,211279
D3 to R2 2016,337519
D4 to R2 2016,242880
D2 to R2 2016,86873
D6 to R4 2017,49990
D7 to R4 2017,191051
D8 to R4 2017,360236
D9 to R4 2017,549003
D1 to R4 2017,57823
D5 to R4 2017,264952
D4 to R4 2017,128369
D3 to R4 2017,179499
D2 to R4 2017,133603
D9 to R3 2017,298750
D7 to R3 2017,363869
D8 to R3 2017,210821
D1 to R3 2017,118698
D5 to R3 2017,933352
D4 to R3 2017,164489
D3 to R3 2017,373591
D6 to R3 2017,272315
D2 to R3 2017,400766
D9 to R1 2017,95438
D6 to R1 2017,21033
D7 to R1 2017,47008
D8 to R1 2017,41251
D5 to R1 2017,260578
D4 to R1 2017,28905
D3 to R1 2017,71889
D1 to R1 2017,186765
D2 to R1 2017,310098
D9 to R2 2017,135671
D6 to R2 2017,91326
D7 to R2 2017,133477
D8 to R2 2017,111365
D1 to R2 2017,28921
D5 to R2 2017,206118
D3 to R2 2017,314580
D4 to R2 2017,248185
D2 to R2 2017,87708
D6 to R4 2018,52404
D7 to R4 2018,192848
D8 to R4 2018,370034
D9 to R4 2018,588521
D1 to R4 2018,63378
D5 to R4 2018,256318
D4 to R4 2018,123745
D3 to R4 2018,164272
D2 to R4 2018,127204
D9 to R3 2018,348580
D7 to R3 2018,355704
D8 to R3 2018,220583
D1 to R3 2018,139284
D5 to R3 2018,973104
D4 to R3 2018,182839
D3 to R3 2018,356015
D6 to R3 2018,284539
D2 to R3 2018,391694
D9 to R1 2018,90741
D6 to R1 2018,21427
D7 to R1 2018,54704
D8 to R1 2018,42023
D5 to R1 2018,239216
D4 to R1 2018,22641
D3 to R1 2018,67214
D1 to R1 2018,180795
D2 to R1 2018,320032
D9 to R2 2018,125012
D6 to R2 2018,90155
D7 to R2 2018,121408
D8 to R2 2018,122950
D1 to R2 2018,30695
D5 to R2 2018,198853
D3 to R2 2018,319437
D4 to R2 2018,241676
D2 to R2 2018,91237
D6 to R4 2019,50797
D7 to R4 2019,191961
D8 to R4 2019,367554
D9 to R4 2019,534244
D1 to R4 2019,66017
D5 to R4 2019,251364
D4 to R4 2019,112417
D3 to R4 2019,153562
D2 to R4 2019,125741
D9 to R3 2019,335360
D7 to R3 2019,337545
D8 to R3 2019,233172
D1 to R3 2019,126044
D5 to R3 2019,976344
D4 to R3 2019,143661
D3 to R3 2019,367230
D6 to R3 2019,255458
D2 to R3 2019,397776
D9 to R1 2019,93125
D6 to R1 2019,24011
D7 to R1 2019,53463
D8 to R1 2019,40114
D5 to R1 2019,242632
D4 to R1 2019,23810
D3 to R1 2019,68434
D1 to R1 2019,192024
D2 to R1 2019,310654
D9 to R2 2019,124854
D6 to R2 2019,86151
D7 to R2 2019,116056
D8 to R2 2019,113557
D1 to R2 2019,33542
D5 to R2 2019,206158
D3 to R2 2019,307933
D4 to R2 2019,243650
D2 to R2 2019,91922
